hour,minute,day,load,temp
22,2,1,15.2,47.6
22,2,1,17.1,48.55
22,2,1,17.0,48.5
22,3,1,11.6,45.8
22,3,1,8.6,44.3
22,3,1,16.2,48.1
22,3,1,10.8,45.4
22,3,1,15.9,47.95
22,3,1,6.8,43.4
22,3,1,10.1,45.05
22,3,1,11.8,45.9
22,4,1,9.5,44.75
22,4,1,12.3,46.15
22,4,1,13.4,46.7
22,4,1,14.2,47.1
22,4,1,22.5,51.25
22,4,1,12.1,46.05
22,4,1,16.0,48.0
22,5,1,17.7,48.85
22,5,1,14.8,47.4
22,5,1,8.9,44.45
22,5,1,14.8,47.4
22,5,1,8.3,44.15
22,5,1,14.3,47.15
22,5,1,22.4,51.2
22,5,1,16.2,48.1
22,6,1,20.1,50.05
22,6,1,16.2,48.1
22,6,1,22.5,51.25
22,6,1,17.0,48.5
22,6,1,42.6,61.3
22,6,1,31.2,55.6
22,6,1,23.7,51.85
22,7,1,35.5,57.75
22,7,1,35.4,57.7
22,7,1,19.2,49.6
22,7,1,21.0,50.5
22,8,1,14.1,47.05
22,8,1,12.5,46.25
22,8,1,10.4,45.2
22,8,1,12.5,46.25
22,9,1,13.3,46.65
22,9,1,8.7,44.35
22,9,1,17.6,48.8
22,9,1,11.2,45.6
22,9,1,11.2,45.6
22,9,1,17.5,48.75
22,9,1,22.8,51.4
22,9,1,12.6,46.3
22,10,1,14.4,47.2
